iter	Logloss
0	0.6608421367
1	0.635374055
2	0.6132976215
3	0.5942434354
4	0.5780131326
5	0.5652170976
6	0.5536120066
7	0.5430700681
8	0.5306012825
9	0.5221400351
10	0.5135841536
11	0.5068523778
12	0.5026325446
13	0.4991311771
14	0.4951367823
15	0.4897932606
16	0.4849612875
17	0.4798896576
18	0.4785452439
19	0.4761139534
20	0.4739448904
21	0.4705757156
22	0.4681135143
23	0.4632136809
24	0.4613090659
25	0.456371632
26	0.4517538219
27	0.4504092755
28	0.448730617
29	0.4469356774
30	0.4446926681
31	0.4429345471
32	0.440911358
33	0.4387877653
34	0.4378770197
35	0.4350940611
36	0.4348239923
37	0.4338086194
38	0.432082181
39	0.4304724894
40	0.4279430878
41	0.4253019863
42	0.4250828911
43	0.4230682466
44	0.4217240758
45	0.4176055631
46	0.4163106384
47	0.4154336196
48	0.4139730004
49	0.4127363432
