iter	Passed	Remaining
0	21	1047
1	42	1026
2	53	837
3	63	729
4	94	851
5	112	821
6	139	857
7	166	872
8	185	844
9	202	811
10	221	785
11	244	775
12	252	719
13	258	665
14	273	637
15	292	621
16	315	612
17	332	591
18	349	570
19	366	549
20	382	528
21	399	507
22	417	490
23	435	471
24	452	452
25	469	433
26	486	414
27	502	395
28	519	376
29	535	357
30	552	338
31	568	319
32	585	301
33	601	283
34	619	265
35	638	248
36	644	226
37	661	208
38	678	191
39	694	173
40	708	155
41	725	138
42	741	120
43	758	103
44	775	86
45	792	68
46	809	51
47	826	34
48	845	17
49	869	0
